# Absorption coefficients
# HITRAN. Molecule CO2. Isotopologue(s): 636.
# Wavenumber range: 2200-2500 cm-1, T: 296 K, P: 1 atm, step: 0.01002 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

 2201.624460    1.8314825264E-05    7.3868811677E-25
 2201.634480    1.9822517939E-05    7.9949757832E-25
 2201.644500    2.1616416803E-05    8.7185053579E-25
 2201.654520    2.3742967323E-05    9.5762026478E-25
 2201.664540    2.6247439727E-05    1.0586326401E-24
 2201.674560    2.9162451562E-05    1.1762032186E-24
 2201.684580    3.2486648667E-05    1.3102773834E-24
 2201.694600    3.6151044961E-05    1.4580727327E-24
 2201.704620    3.9976733444E-05    1.6123734470E-24
 2201.714640    4.3644018594E-05    1.7602853120E-24
 2201.724660    4.6718030611E-05    1.8842688125E-24
 2201.734680    4.8762931429E-05    1.9667453807E-24
 2201.744700    4.9521830358E-05    1.9973538966E-24
 2201.754720    4.9078312843E-05    1.9794655950E-24
 2201.764740    4.7783784236E-05    1.9272536364E-24
 2201.774760    4.6119547332E-05    1.8601303083E-24
 2201.784780    4.4523131616E-05    1.7957423984E-24
 2201.794800    4.3306967642E-05    1.7466911046E-24
 2201.804820    4.2661290974E-05    1.7206491591E-24
 2201.814840    4.2809129412E-05    1.7266118967E-24
 2201.824860    4.3576913655E-05    1.7575787821E-24
 2201.834880    4.5128970635E-05    1.8201775802E-24
 2201.844900    4.7519450765E-05    1.9165923283E-24
 2201.854920    5.0818173161E-05    2.0496390268E-24
 2201.864940    5.5106474494E-05    2.2225982110E-24
 2201.874960    6.0429819545E-05    2.4373036026E-24
 2201.884980    6.6749335807E-05    2.6921873647E-24
 2201.895000    7.3818651809E-05    2.9773126471E-24
 2201.905020    8.1059444803E-05    3.2693540760E-24
 2201.915040    8.7493124617E-05    3.5288423735E-24
 2201.925060    9.1946792111E-05    3.7084712373E-24
 2201.935080    9.3183162133E-05    3.7583374976E-24
 2201.945100    9.0873939755E-05    3.6652001018E-24
 2201.955120    8.5535487467E-05    3.4498853930E-24
 2201.965140    7.8307965398E-05    3.1583792176E-24
 2201.975160    7.0414556561E-05    2.8400159668E-24
