x;GC790B;GC859C;GC727H;GC874C-1;GC874C-2;GC756B;GC801B
2317,979;0,69428;0,592;0,24579;0,20247;0,16429;0,14377;0,09968
2318,282;0,69454;0,59233;0,24652;0,20322;0,1646;0,14724;0,1007
2318,819;0,69507;0,59323;0,24887;0,20464;0,16514;0,15337;0,10263
2318,879;0,69514;0,59335;0,2492;0,2048;0,16521;0,15405;0,10285
2319,668;0,69614;0,59541;0,25453;0,20713;0,16605;0,16298;0,106
2320,666;0,6978;0,59914;0,2631;0,21035;0,16721;0,17739;0,11064
2320,748;0,69795;0,59949;0,26386;0,21062;0,16731;0,1789;0,11106
2321,117;0,69871;0,60173;0,26738;0,21187;0,16775;0,18663;0,113
2321,51;0,6996;0,60426;0,27135;0,2132;0,1682;0,19628;0,11519
2322,079;0,70107;0,60833;0,27786;0,21512;0,16884;0,21187;0,11858
2322,361;0,70189;0,61054;0,28174;0,21606;0,16915;0,21992;0,12036
2323,356;0,70535;0,61988;0,30548;0,21957;0,17029;0,24739;0,12704
2323,36;0,70537;0,61993;0,30562;0,21959;0,17029;0,2475;0,12708
2323,393;0,7055;0,62029;0,30661;0,21972;0,17033;0,24832;0,1273
2323,677;0,7067;0,62362;0,31525;0,2209;0,17068;0,25517;0,12932
2324,335;0,70992;0,63258;0,33474;0,22453;0,17153;0,26905;0,13407
2324,544;0,71108;0,63579;0,34062;0,22607;0,17182;0,27302;0,13558
2324,965;0,71363;0,64277;0,35183;0,22966;0,17244;0,28063;0,1386
2325,385;0,71647;0,65042;0,36202;0,23352;0,17309;0,28803;0,14159
2325,543;0,71761;0,65349;0,36568;0,23498;0,17335;0,29084;0,14272
2326,656;0,72683;0,67508;0,39151;0,24463;0,17536;0,31195;0,15081
2326,842;0,72855;0,67868;0,39619;0,24612;0,17574;0,31578;0,15223
2326,953;0,72959;0,68083;0,39905;0,247;0,17597;0,31812;0,1531
2327,501;0,73491;0,69044;0,41389;0,25124;0,17716;0,33046;0,15778
2327,692;0,73682;0,6938;0,41926;0,25271;0,17761;0,3352;0,15968
2328,007;0,73997;0,69932;0,42815;0,25511;0,17838;0,3436;0,16329
2328,596;0,74589;0,70966;0,44475;0,25963;0,17994;0,36104;0,17248
2328,6;0,74594;0,70973;0,44487;0,25966;0,17996;0,36117;0,17255
2328,983;0,7498;0,71646;0,45534;0,26265;0,18107;0,37266;0,17837
2329,297;0,75296;0,72197;0,46353;0,26514;0,18204;0,38141;0,18319
2329,375;0,75375;0,72334;0,46551;0,26576;0,18229;0,38346;0,18445
2329,427;0,75427;0,72398;0,4668;0,26618;0,18246;0,38478;0,18529
2330,861;0,76897;0,742;0,4997;0,27857;0,1877;0,41828;0,21064
2330,985;0,77027;0,74356;0,50237;0,27976;0,18821;0,42121;0,21296
2331,175;0,77225;0,74594;0,50637;0,28161;0,18901;0,42577;0,21653
2331,292;0,77349;0,74741;0,5088;0,28279;0,18951;0,42868;0,21876
2331,79;0,77879;0,75366;0,51842;0,28807;0,19175;0,44175;0,22843
2332,575;0,78736;0,76352;0,52967;0,29715;0,1956;0,46413;0,24404
2332,614;0,78778;0,76401;0,53006;0,29762;0,19581;0,46525;0,24481
2332,78;0,78962;0,76503;0,53153;0,29965;0,19668;0,47013;0,24814
