# Absorption coefficients
# CDSD 296K. Molecule CO2. Isotopologue(s): 626,636,628.
# Wavenumber range: 600-3000 cm-1, T: 296 K, P: 5 atm, step: 0.05007 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://spectra.iao.ru/home.sim-theory.sp-functions.
# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)

  613.607850    1.0177702914E+00    8.2099043705E-21
  613.657920    1.0236972279E+00    8.2577143545E-21
  613.707990    1.0297060967E+00    8.3061852511E-21
  613.758060    1.0357973734E+00    8.3553208953E-21
  613.808130    1.0419714739E+00    8.4051246432E-21
  613.858200    1.0482287505E+00    8.4555993353E-21
  613.908270    1.0545694856E+00    8.5067472511E-21
  613.958340    1.0609938889E+00    8.5585700805E-21
  614.008410    1.0675020905E+00    8.6110688744E-21
  614.058480    1.0740941377E+00    8.6642440143E-21
  614.108550    1.0807699842E+00    8.7180951253E-21
  614.158620    1.0875295373E+00    8.7726214612E-21
  614.208690    1.0943725587E+00    8.8278210991E-21
  614.258760    1.1012985551E+00    8.8836900593E-21
  614.308830    1.1083072418E+00    8.9402260461E-21
  614.358900    1.1153978660E+00    8.9974229865E-21
  614.408970    1.1225698002E+00    9.0552758186E-21
  614.459040    1.1298221979E+00    9.1137777145E-21
  614.509110    1.1371540723E+00    9.1729207138E-21
  614.559180    1.1445642858E+00    9.2326956398E-21
  614.609250    1.1520515429E+00    9.2930920427E-21
  614.659320    1.1596143883E+00    9.3540981839E-21
  614.709390    1.1672511940E+00    9.4157009296E-21
  614.759460    1.1749601533E+00    9.4778857066E-21
  614.809530    1.1827392727E+00    9.5406364339E-21
  614.859600    1.1905863668E+00    9.6039354833E-21
  614.909670    1.1984990414E+00    9.6677635426E-21
  614.959740    1.2064747003E+00    9.7320996678E-21
  615.009810    1.2145105278E+00    9.7969211465E-21
  615.059880    1.2226034847E+00    9.8622034623E-21
  615.109950    1.2307502994E+00    9.9279202263E-21
  615.160020    1.2389474636E+00    9.9940431371E-21
  615.210090    1.2471912234E+00    1.0060541914E-20
  615.260160    1.2554775754E+00    1.0127384264E-20
  615.310230    1.2638022597E+00    1.0194535823E-20
  615.360300    1.2721607552E+00    1.0261960122E-20
  615.410370    1.2805482747E+00    1.0329618545E-20
  615.460440    1.2889597614E+00    1.0397470301E-20
