,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
2883,3379.78,3.89912,0.0,0.0,0.0,0.0,5.29359,-1.39447,0.0506314
2884,3380.74,3.89175,0.0,0.0,0.0,0.0,5.2978,-1.40605,0.0504244
2885,3381.71,3.89126,0.0,0.0,0.0,0.0,5.30201,-1.41074,0.0505789
2886,3382.67,3.8872,0.0,0.0,0.0,0.0,5.30621,-1.41901,0.0518482
2887,3383.64,3.88851,0.0,0.0,0.0,0.0,5.31042,-1.4219,0.054685
2888,3384.6,3.89095,0.0,0.0,0.0,0.0,5.31463,-1.42368,0.0572603
2889,3385.57,3.8908,0.0,0.0,0.0,0.0,5.31884,-1.42804,0.0569136
2890,3386.53,3.88586,0.0,0.0,0.0,0.0,5.32304,-1.43719,0.0534801
2891,3387.49,3.87372,0.0,0.0,0.0,0.0,5.32725,-1.45353,0.0505793
2892,3388.46,3.87052,0.0,0.0,0.0,0.0,5.33146,-1.46094,0.0502403
2893,3389.42,3.86068,0.0,0.0,0.0,0.0,5.33567,-1.47499,0.05034
2894,3390.39,3.84604,0.0,0.0,0.0,0.0,5.33987,-1.49383,0.0506393
2895,3391.35,3.81039,0.0,0.0,0.0,0.0,5.34408,-1.53369,0.0532561
2896,3392.32,3.81159,0.0,0.0,0.0,0.0,5.34829,-1.5367,0.0623089
2897,3393.28,3.84793,0.0,0.0,0.0,0.0,5.3525,-1.50457,0.0634558
2898,3394.24,3.84992,0.0,0.0,0.0,0.0,5.3567,-1.50679,0.0539342
2899,3395.21,3.84235,0.0,0.0,0.0,0.0,5.36091,-1.51856,0.0506933
2900,3396.17,3.82038,0.0,0.0,0.0,0.0,5.36512,-1.54474,0.0543526
2901,3397.14,3.82096,0.0,0.0,0.0,0.0,5.36933,-1.54837,0.0608972
2902,3398.1,3.82699,0.0,0.0,0.0,0.0,5.37354,-1.54654,0.0572957
2903,3399.07,3.80434,0.0,0.0,0.0,0.0,5.37774,-1.57341,0.051571
2904,3400.03,3.77923,0.0,0.0,0.0,0.0,5.38195,-1.60272,0.0508399
2905,3400.99,3.77949,0.0,0.0,0.0,0.0,5.38616,-1.60667,0.0518902
2906,3401.96,3.78238,0.0,0.0,0.0,0.0,5.39037,-1.60798,0.0523355
2907,3402.92,3.78631,0.0,0.0,0.0,0.0,5.39457,-1.60826,0.0530564
2908,3403.89,3.79299,0.0,0.0,0.0,0.0,5.39878,-1.60579,0.0536587
2909,3404.85,3.78805,0.0,0.0,0.0,0.0,5.40299,-1.61494,0.0516096
2910,3405.82,3.78851,0.0,0.0,0.0,0.0,5.4072,-1.61869,0.0506076
2911,3406.78,3.7859,0.0,0.0,0.0,0.0,5.41141,-1.6255,0.0508905
2912,3407.74,3.76324,0.0,0.0,0.0,0.0,5.41561,-1.65237,0.0507657
2913,3408.71,3.75253,0.0,0.0,0.0,0.0,5.41982,-1.66729,0.051017
2914,3409.67,3.75445,0.0,0.0,0.0,0.0,5.42403,-1.66957,0.0508129
2915,3410.64,3.75789,0.0,0.0,0.0,0.0,5.42824,-1.67034,0.0504064
2916,3411.6,3.74301,0.0,0.0,0.0,0.0,5.43244,-1.68944,0.0505814
2917,3412.57,3.72999,0.0,0.0,0.0,0.0,5.43665,-1.70666,0.0515961
2918,3413.53,3.73299,0.0,0.0,0.0,0.0,5.44086,-1.70787,0.0518881
2919,3414.49,3.73649,0.0,0.0,0.0,0.0,5.44507,-1.70858,0.0512198
2920,3415.46,3.73597,0.0,0.0,0.0,0.0,5.44927,-1.7133,0.0510398
2921,3416.42,3.73595,0.0,0.0,0.0,0.0,5.45348,-1.71753,0.0509593
2922,3417.39,3.73437,0.0,0.0,0.0,0.0,5.45769,-1.72332,0.0513774
2923,3418.35,3.72993,0.0,0.0,0.0,0.0,5.4619,-1.73197,0.053137
2924,3419.32,3.71525,0.0,0.0,0.0,0.0,5.46611,-1.75086,0.0596584
2925,3420.28,3.70767,0.0,0.0,0.0,0.0,5.47031,-1.76264,0.0709152
2926,3421.24,3.7169,0.0,0.0,0.0,0.0,5.47452,-1.75762,0.0703018
2927,3422.21,3.71462,0.0,0.0,0.0,0.0,5.47873,-1.76411,0.063197
2928,3423.17,3.71121,0.0,0.0,0.0,0.0,5.48294,-1.77172,0.0576356
2929,3424.14,3.70232,0.0,0.0,0.0,0.0,5.48714,-1.78482,0.0530271
2930,3425.1,3.68421,0.0,0.0,0.0,0.0,5.49135,-1.80714,0.05121
2931,3426.07,3.67978,0.0,0.0,0.0,0.0,5.49556,-1.81578,0.050802
2932,3427.03,3.67402,0.0,0.0,0.0,0.0,5.49977,-1.82574,0.0521812
2933,3427.99,3.66599,0.0,0.0,0.0,0.0,5.50397,-1.83798,0.0536044
2934,3428.96,3.66564,0.0,0.0,0.0,0.0,5.50818,-1.84254,0.0522895
2935,3429.92,3.6461,0.0,0.0,0.0,0.0,5.51239,-1.86629,0.0523272
2936,3430.89,3.64086,0.0,0.0,0.0,0.0,5.5166,-1.87574,0.0553678
2937,3431.85,3.63717,0.0,0.0,0.0,0.0,5.5208,-1.88363,0.0548381
2938,3432.82,3.62723,0.0,0.0,0.0,0.0,5.52501,-1.89778,0.0528385
2939,3433.78,3.60694,0.0,0.0,0.0,0.0,5.52922,-1.92228,0.0514489
2940,3434.74,3.5955,0.0,0.0,0.0,0.0,5.53343,-1.93793,0.0507113
2941,3435.71,3.60213,0.0,0.0,0.0,0.0,5.53764,-1.93551,0.0510674
2942,3436.67,3.61506,0.0,0.0,0.0,0.0,5.54185,-1.92678,0.0515692
2943,3437.64,3.61484,0.0,0.0,0.0,0.0,5.54605,-1.93121,0.0518853
2944,3438.6,3.61533,0.0,0.0,0.0,0.0,5.55026,-1.93493,0.0522537
2945,3439.57,3.61875,0.0,0.0,0.0,0.0,5.55447,-1.93571,0.0521963
2946,3440.53,3.61145,0.0,0.0,0.0,0.0,5.55868,-1.94723,0.0527974
2947,3441.49,3.5895,0.0,0.0,0.0,0.0,5.56288,-1.97339,0.0583912
2948,3442.46,3.59452,0.0,0.0,0.0,0.0,5.56709,-1.97257,0.0681521
2949,3443.42,3.60242,0.0,0.0,0.0,0.0,5.5713,-1.96887,0.0627906
2950,3444.39,3.58713,0.0,0.0,0.0,0.0,5.57551,-1.98838,0.0560101
2951,3445.35,3.55539,0.0,0.0,0.0,0.0,5.57971,-2.02432,0.058903
2952,3446.32,3.53582,0.0,0.0,0.0,0.0,5.58392,-2.0481,0.0761387
2953,3447.28,3.58268,0.0,0.0,0.0,0.0,5.58813,-2.00545,0.0955247
2954,3448.24,3.5929,0.0,0.0,0.0,0.0,5.59234,-1.99944,0.0744354
2955,3449.21,3.56986,0.0,0.0,0.0,0.0,5.59654,-2.02668,0.0552607
2956,3450.17,3.55916,0.0,0.0,0.0,0.0,5.60075,-2.04159,0.0516862
2957,3451.14,3.55525,0.0,0.0,0.0,0.0,5.60496,-2.04971,0.0512114
2958,3452.1,3.54754,0.0,0.0,0.0,0.0,5.60917,-2.06163,0.0510556
2959,3453.07,3.54624,0.0,0.0,0.0,0.0,5.61337,-2.06713,0.0514266
2960,3454.03,3.53765,0.0,0.0,0.0,0.0,5.61758,-2.07993,0.0511858
2961,3454.99,3.51556,0.0,0.0,0.0,0.0,5.62179,-2.10623,0.0520714
2962,3455.96,3.50657,0.0,0.0,0.0,0.0,5.626,-2.11943,0.0534224
2963,3456.92,3.51608,0.0,0.0,0.0,0.0,5.6302,-2.11413,0.0532509
2964,3457.89,3.51751,0.0,0.0,0.0,0.0,5.63441,-2.1169,0.0529201
2965,3458.85,3.50007,0.0,0.0,0.0,0.0,5.63862,-2.13856,0.0533226
2966,3459.82,3.48788,0.0,0.0,0.0,0.0,5.64283,-2.15494,0.0535517
2967,3460.78,3.48573,0.0,0.0,0.0,0.0,5.64703,-2.1613,0.0576465
2968,3461.74,3.49044,0.0,0.0,0.0,0.0,5.65125,-2.16081,0.0630021
