,wavenumber,experimental,"CO2 ν2a, phase I"
412,997.059,2.43299,0.0
413,998.024,2.44057,0.0
414,998.988,2.44516,0.0
415,999.952,2.45088,0.0
416,1000.92,2.45633,0.0
417,1001.88,2.46412,0.0
418,1002.85,2.47196,0.0
419,1003.81,2.47382,0.0
420,1004.77,2.48065,0.0
421,1005.74,2.48733,0.0
422,1006.7,2.49521,0.0
423,1007.67,2.50604,0.0
424,1008.63,2.51143,0.0
425,1009.6,2.51539,0.0
426,1010.56,2.52341,0.0
427,1011.52,2.53298,0.0
428,1012.49,2.54807,0.0
429,1013.45,2.55448,0.0
430,1014.42,2.56158,0.0
431,1015.38,2.56853,0.0
432,1016.35,2.58112,0.0
433,1017.31,2.58965,0.0
434,1018.27,2.60085,0.0
435,1019.24,2.61287,0.0
436,1020.2,2.62567,0.0
437,1021.17,2.63266,0.0
438,1022.13,2.63443,0.0
439,1023.1,2.64253,0.0
440,1024.06,2.663,0.0
441,1025.02,2.68023,0.0
442,1025.99,2.68956,0.0
443,1026.95,2.70217,0.0
444,1027.92,2.71625,0.0
445,1028.88,2.72788,0.0
446,1029.85,2.73395,0.0
447,1030.81,2.74757,0.0
448,1031.77,2.76635,0.0
449,1032.74,2.77723,0.0
450,1033.7,2.7879,0.0
451,1034.67,2.79492,0.0
452,1035.63,2.8084,0.0
453,1036.6,2.8152,0.0
454,1037.56,2.82843,0.0
455,1038.52,2.83829,0.0
456,1039.49,2.84251,0.0
457,1040.45,2.85485,0.0
458,1041.42,2.86338,0.0
459,1042.38,2.87083,0.0
460,1043.34,2.88508,0.0
461,1044.31,2.89261,0.0
462,1045.27,2.90157,0.0
463,1046.24,2.9016,0.0
464,1047.2,2.90516,0.0
465,1048.17,2.91553,0.0
466,1049.13,2.9317,0.0
467,1050.09,2.93035,0.0
468,1051.06,2.92753,0.0
469,1052.02,2.93473,0.0
470,1052.99,2.94253,0.0
471,1053.95,2.95304,0.0
472,1054.92,2.95293,0.0
473,1055.88,2.95707,0.0
474,1056.84,2.96371,0.0
475,1057.81,2.96394,0.0
476,1058.77,2.96331,0.0
477,1059.74,2.96457,0.0
478,1060.7,2.97832,0.0
479,1061.67,2.97988,0.0
480,1062.63,2.97796,0.0
481,1063.59,2.9791,0.0
482,1064.56,2.97982,0.0
483,1065.52,2.98104,0.0
484,1066.49,2.97729,0.0
485,1067.45,2.97104,0.0
486,1068.42,2.97228,0.0
487,1069.38,2.97782,0.0
488,1070.34,2.98146,0.0
489,1071.31,2.97699,0.0
490,1072.27,2.96691,0.0
491,1073.24,2.96496,0.0
492,1074.2,2.97168,0.0
493,1075.17,2.97263,0.0
494,1076.13,2.97133,0.0
495,1077.09,2.97449,0.0
496,1078.06,2.97713,0.0
497,1079.02,2.97383,0.0
498,1079.99,2.97459,0.0
499,1080.95,2.97686,0.0
500,1081.91,2.984,0.0
501,1082.88,2.98218,0.0
502,1083.84,2.97879,0.0
503,1084.81,2.98135,0.0
504,1085.77,2.98832,0.0
505,1086.74,2.98985,0.0
506,1087.7,2.98554,0.0
507,1088.66,2.98672,0.0
508,1089.63,2.99601,0.0
509,1090.59,2.99745,0.0
510,1091.56,2.9936,0.0
511,1092.52,2.99189,0.0
512,1093.49,2.9976,0.0
513,1094.45,3.01065,0.0
514,1095.41,3.02117,0.0
515,1096.38,3.01354,0.0
516,1097.34,3.00669,0.0
517,1098.31,3.01113,0.0
518,1099.27,3.02374,0.0
