,wavenumber,experimental,CO2 v2a phase I,CO2 v2b phase I,CO2 gas,linear baseline,residue,CO2 gas experimental
105,701.027,1.37602,6.7647e-22,0.0,0.040485,0.903494,0.432044,0.049847
106,701.991,1.29468,6.3879e-23,0.0,0.034621,0.879406,0.380651,0.0395688
107,702.956,1.28976,5.71131e-24,0.0,0.0293902,0.855321,0.40505,0.0388354
108,703.92,1.36899,4.83242e-25,0.0,0.0247667,0.831233,0.512995,0.043307
109,704.884,1.30758,3.87039e-26,0.0,0.0207177,0.807146,0.479718,0.0400633
110,705.849,1.19973,2.93428e-27,0.0,0.0172039,0.783058,0.399466,0.0312242
111,706.813,1.21373,2.10577e-28,0.0,0.0141814,0.75897,0.440583,0.0294375
112,707.777,1.23692,1.43085e-29,0.0,0.0116047,0.734885,0.490427,0.0329789
113,708.741,1.19805,9.20068e-31,0.0,0.0094264,0.710797,0.477823,0.0288039
114,709.706,1.16399,5.6003e-32,0.0,0.00760096,0.68671,0.469683,0.021873
115,710.67,1.20617,3.22765e-33,0.0,0.0060843,0.662625,0.537462,0.0222313
116,711.634,1.21832,1.76032e-34,0.0,0.00483451,0.638537,0.574953,0.0260287
117,712.598,1.18727,9.08775e-36,0.0,0.00381332,0.614449,0.569011,0.0242665
118,713.563,1.18084,4.44246e-37,0.0,0.0029859,0.590364,0.587491,0.0202917
119,714.527,1.21397,2.05499e-38,0.0,0.00232084,0.566276,0.645371,0.0206673
120,715.491,1.21892,8.99811e-40,0.0,0.00179071,0.542189,0.67494,0.0231778
121,716.456,1.20385,3.72949e-41,0.0,0.00137156,0.518101,0.684379,0.0217084
122,717.42,1.18308,1.46255e-42,0.0,0.00104283,0.494013,0.688019,0.0192893
123,718.384,1.17129,5.33547e-44,0.0,0.000787087,0.469926,0.700576,0.0262145
124,719.348,1.17891,3.13851e-45,0.0,0.00058973,0.44584,0.73248,0.0536554
125,720.313,1.20053,0.0,0.0,0.000438613,0.421753,0.778339,0.0781102
126,721.277,1.19088,0.0,0.0,0.000323831,0.397665,0.792891,0.0501036
127,722.241,1.21092,0.0,0.0,0.000237345,0.37358,0.8371,0.0230889
128,723.206,1.21727,0.0,0.0,0.000172677,0.349492,0.867606,0.0213253
129,724.17,1.15319,0.0,0.0,0.00012471,0.325405,0.82766,0.02014
130,725.134,1.11036,0.0,0.0,8.94113e-05,0.301319,0.808948,0.0196569
131,726.098,1.09722,0.0,0.0,6.36323e-05,0.277232,0.819921,0.0220517
132,727.063,1.1096,0.0,0.0,4.49544e-05,0.253144,0.856408,0.0238412
133,728.027,1.10177,0.0,0.0,3.15265e-05,0.229056,0.87268,0.0224914
134,728.991,1.12487,0.0,0.0,2.19486e-05,0.204971,0.919873,0.022799
135,729.955,1.16082,0.0,0.0,1.51681e-05,0.180883,0.979919,0.0253746
136,730.92,1.138,0.0,0.0,1.04055e-05,0.156796,0.981191,0.0256344
137,731.884,1.04705,0.0,0.0,7.08607e-06,0.132708,0.914335,0.0228421
138,732.848,1.0649,0.0,0.0,4.79024e-06,0.10862,0.95628,0.0234823
139,733.812,1.13598,0.0,0.0,3.21467e-06,0.0845353,1.05145,0.0270943
140,734.777,1.12726,0.0,0.0,2.14145e-06,0.0604476,1.06681,0.0274082
141,735.741,1.10219,0.0,0.0,1.41608e-06,0.0363599,1.06583,0.0241389
142,736.705,1.14623,0.0,0.0,9.29604e-07,0.0122748,1.13396,0.0246701
143,737.67,1.18986,0.0,0.0,6.05756e-07,-0.0118129,1.20168,0.0284915
144,738.634,1.17963,0.0,0.0,3.91839e-07,-0.0359006,1.21553,0.028221
145,739.598,1.14915,0.0,0.0,2.51621e-07,-0.0599858,1.20913,0.0244447
146,740.562,1.15218,0.0,0.0,1.60389e-07,-0.0840735,1.23625,0.0264889
147,741.527,1.14855,0.0,0.0,1.01488e-07,-0.108161,1.25671,0.0317879
148,742.491,1.07556,0.0,0.0,6.37472e-08,-0.132249,1.20781,0.0301283
149,743.455,1.03239,0.0,0.0,3.97482e-08,-0.156336,1.18873,0.0242001
150,744.42,1.07979,0.0,0.0,2.46028e-08,-0.180424,1.26021,0.0249173
151,745.384,1.15979,0.0,0.0,1.51176e-08,-0.204509,1.3643,0.0298178
152,746.348,1.06141,0.0,0.0,9.2208e-09,-0.228597,1.29001,0.0292486
153,747.312,0.988586,0.0,0.0,5.58295e-09,-0.252685,1.24127,0.023387
154,748.277,1.03859,0.0,0.0,3.35577e-09,-0.27677,1.31536,0.0227571
155,749.241,1.13604,0.0,0.0,2.0022e-09,-0.300858,1.4369,0.0285176
156,750.205,1.08078,0.0,0.0,1.18585e-09,-0.324945,1.40573,0.0295921
157,751.169,0.980249,0.0,0.0,6.9725e-10,-0.34903,1.32928,0.0234445
158,752.134,0.9629,0.0,0.0,4.06941e-10,-0.373118,1.33602,0.021893
159,753.098,1.0778,0.0,0.0,2.35768e-10,-0.397206,1.475,0.0284204
160,754.062,1.07456,0.0,0.0,1.35596e-10,-0.421293,1.49585,0.0310034
161,755.027,0.996164,0.0,0.0,7.74139e-11,-0.445381,1.44154,0.0245019
162,755.991,0.975042,0.0,0.0,4.38759e-11,-0.469466,1.44451,0.0210393
163,756.955,1.04389,0.0,0.0,2.46841e-11,-0.493554,1.53745,0.0273253
164,757.919,1.03497,0.0,0.0,1.37854e-11,-0.517642,1.55261,0.0311021
165,758.884,0.96582,0.0,0.0,7.64237e-12,-0.541729,1.50755,0.0246253
166,759.848,0.947713,0.0,0.0,4.20605e-12,-0.565814,1.51353,0.0196942
167,760.812,1.04188,0.0,0.0,2.29776e-12,-0.589902,1.63178,0.026008
168,761.777,1.08199,0.0,0.0,1.24607e-12,-0.61399,1.69598,0.0315222
169,762.741,0.974003,0.0,0.0,6.70841e-13,-0.638075,1.61208,0.0255202
170,763.705,0.926806,0.0,0.0,3.5849e-13,-0.662163,1.58897,0.0193741
171,764.669,1.03912,0.0,0.0,1.90171e-13,-0.68625,1.72537,0.025316
172,765.634,1.11487,0.0,0.0,1.0015e-13,-0.710336,1.8252,0.0317937
173,766.598,0.973189,0.0,0.0,5.23526e-14,-0.734423,1.70761,0.0264744
174,767.562,0.923275,0.0,0.0,2.71666e-14,-0.758511,1.68179,0.0192025
175,768.526,1.02122,0.0,0.0,1.3994e-14,-0.782599,1.80382,0.0237951
176,769.491,1.09107,0.0,0.0,7.15576e-15,-0.806686,1.89775,0.0315122
177,770.455,0.988943,0.0,0.0,3.63229e-15,-0.830774,1.81972,0.0275848
178,771.419,0.931498,0.0,0.0,1.8304e-15,-0.854859,1.78636,0.0194303
179,772.384,1.00875,0.0,0.0,9.15567e-16,-0.878947,1.88769,0.0225043
180,773.348,1.08729,0.0,0.0,4.54615e-16,-0.903034,1.99033,0.0305188
181,774.312,0.969144,0.0,0.0,2.24098e-16,-0.92712,1.89626,0.0280017
182,775.276,0.909657,0.0,0.0,1.09651e-16,-0.951207,1.86086,0.019638
183,776.241,0.967086,0.0,0.0,5.32591e-17,-0.975295,1.94238,0.0215578
184,777.205,1.08099,0.0,0.0,2.56814e-17,-0.99938,2.08037,0.0301636
185,778.169,1.00719,0.0,0.0,1.22919e-17,-1.02347,2.03066,0.0286983
186,779.133,0.91676,0.0,0.0,5.84025e-18,-1.04756,1.96432,0.0196946
187,780.098,0.971329,0.0,0.0,2.75456e-18,-1.07164,2.04297,0.0195582
188,781.062,1.1093,0.0,0.0,1.28968e-18,-1.09573,2.20503,0.0280882
189,782.026,1.04208,0.0,0.0,5.99455e-19,-1.11982,2.1619,0.0288844
190,782.99,0.938747,0.0,0.0,2.76571e-19,-1.1439,2.08265,0.0206812
191,783.955,0.961262,0.0,0.0,1.26667e-19,-1.16799,2.12925,0.0192948
192,784.919,1.07031,0.0,0.0,5.75882e-20,-1.19208,2.26239,0.027169
193,785.883,1.03257,0.0,0.0,2.59924e-20,-1.21616,2.24874,0.0290778
194,786.848,0.94744,0.0,0.0,1.16449e-20,-1.24025,2.18769,0.0215335
195,787.812,0.980565,0.0,0.0,5.17883e-21,-1.26434,2.2449,0.0182142
196,788.776,1.09578,0.0,0.0,2.28652e-21,-1.28842,2.3842,0.0249985
197,789.74,1.08174,0.0,0.0,1.00205e-21,-1.31251,2.39425,0.0284803
198,790.705,1.03048,0.0,0.0,4.35931e-22,-1.3366,2.36708,0.0218188
199,791.669,1.06109,0.0,0.0,1.88274e-22,-1.36069,2.42177,0.0171893
200,792.633,1.16162,0.0,0.0,8.07116e-23,-1.38477,2.5464,0.0229914
201,793.597,1.19674,0.0,0.0,3.43471e-23,-1.40886,2.6056,0.0277316
202,794.562,1.16831,0.0,0.0,1.45096e-23,-1.43295,2.60126,0.0221703
203,795.526,1.1915,0.0,0.0,6.08454e-24,-1.45704,2.64854,0.0167202
204,796.49,1.28233,0.0,0.0,2.53286e-24,-1.48112,2.76346,0.0210866
205,797.455,1.31278,0.0,0.0,1.04675e-24,-1.50521,2.81799,0.0263233
206,798.419,1.24895,0.0,0.0,4.29384e-25,-1.5293,2.77825,0.022982
207,799.383,1.27745,0.0,0.0,1.74847e-25,-1.55338,2.83083,0.0167684
208,800.347,1.3462,0.0,0.0,7.06838e-26,-1.57747,2.92367,0.0186157
209,801.312,1.3482,0.0,0.0,2.83629e-26,-1.60156,2.94976,0.0235931
210,802.276,1.26458,0.0,0.0,1.12977e-26,-1.62564,2.89023,0.0214381
211,803.24,1.24964,0.0,0.0,4.4677e-27,-1.64973,2.89937,0.0163968
212,804.205,1.28903,0.0,0.0,1.75365e-27,-1.67382,2.96285,0.0175228
213,805.169,1.30978,0.0,0.0,6.83302e-28,-1.69791,3.00768,0.0219546
214,806.133,1.24178,0.0,0.0,2.64297e-28,-1.72199,2.96377,0.0208253
215,807.097,1.21109,0.0,0.0,1.0148e-28,-1.74608,2.95717,0.015826
216,808.062,1.21812,0.0,0.0,3.86831e-29,-1.77017,2.98828,0.0158749
217,809.026,1.21642,0.0,0.0,1.46362e-29,-1.79425,3.01067,0.020486
218,809.99,1.16246,0.0,0.0,5.49725e-30,-1.81834,2.9808,0.021028
219,810.955,1.12813,0.0,0.0,2.04962e-30,-1.84243,2.97056,0.017014
220,811.919,1.17617,0.0,0.0,7.58671e-31,-1.86651,3.04268,0.0158043
221,812.883,1.23836,0.0,0.0,2.7874e-31,-1.8906,3.12896,0.0195521
222,813.847,1.19072,0.0,0.0,1.01661e-31,-1.91469,3.10541,0.0209908
223,814.812,1.12973,0.0,0.0,3.68099e-32,-1.93877,3.06851,0.0174521
224,815.776,1.15618,0.0,0.0,1.32294e-32,-1.96286,3.11904,0.0155824
225,816.74,1.1993,0.0,0.0,4.7198e-33,-1.98695,3.18625,0.0183913
226,817.704,1.19796,0.0,0.0,1.67172e-33,-2.01104,3.209,0.0201961
227,818.669,1.12992,0.0,0.0,5.87716e-34,-2.03512,3.16504,0.0174246
228,819.633,1.09612,0.0,0.0,2.05107e-34,-2.05921,3.15533,0.0148351
229,820.597,1.11269,0.0,0.0,7.10563e-35,-2.0833,3.19599,0.0168624
230,821.562,1.12464,0.0,0.0,2.44362e-35,-2.10739,3.23202,0.0191961
231,822.526,1.11933,0.0,0.0,8.3421e-36,-2.13147,3.25081,0.0178215
232,823.49,1.11764,0.0,0.0,2.82732e-36,-2.15556,3.2732,0.0156916
233,824.454,1.14785,0.0,0.0,9.51121e-37,-2.17965,3.3275,0.0166346
234,825.419,1.16258,0.0,0.0,3.17618e-37,-2.20373,3.36632,0.0185671
235,826.383,1.12767,0.0,0.0,1.05302e-37,-2.22782,3.35549,0.0183111
236,827.347,1.08151,0.0,0.0,3.46517e-38,-2.25191,3.33342,0.0166316
237,828.311,1.07608,0.0,0.0,1.13194e-38,-2.27599,3.35207,0.016547
238,829.276,1.11173,0.0,0.0,3.67098e-39,-2.30008,3.41181,0.0179608
239,830.24,1.1001,0.0,0.0,1.18168e-39,-2.32417,3.42427,0.0182186
240,831.204,1.05947,0.0,0.0,3.77596e-40,-2.34826,3.40773,0.0166575
241,832.168,1.06755,0.0,0.0,1.19775e-40,-2.37234,3.43989,0.0160963
242,833.133,1.10237,0.0,0.0,3.77148e-41,-2.39643,3.4988,0.0176557
243,834.097,1.0595,0.0,0.0,1.17902e-41,-2.42052,3.48001,0.0186803
244,835.061,1.02229,0.0,0.0,3.65835e-42,-2.4446,3.46689,0.017637
245,836.026,1.0398,0.0,0.0,1.12684e-42,-2.46869,3.50849,0.0163957
246,836.99,1.07545,0.0,0.0,3.44545e-43,-2.49278,3.56823,0.0169058
247,837.954,1.07152,0.0,0.0,1.04591e-43,-2.51686,3.58839,0.0181929
248,838.918,1.03046,0.0,0.0,3.15136e-44,-2.54095,3.57141,0.0177246
249,839.883,1.02891,0.0,0.0,9.42565e-45,-2.56504,3.59395,0.0165298
250,840.847,1.06173,0.0,0.0,2.79891e-45,-2.58912,3.65086,0.0169081
251,841.811,1.08742,0.0,0.0,8.24939e-46,-2.61321,3.70063,0.0180598
252,842.775,1.08229,0.0,0.0,2.41359e-46,-2.6373,3.71959,0.0177305
253,843.74,1.05511,0.0,0.0,7.01087e-47,-2.66138,3.71649,0.0167841
254,844.704,1.06565,0.0,0.0,2.02131e-47,-2.68547,3.75113,0.0167546
255,845.668,1.08368,0.0,0.0,5.78501e-48,-2.70956,3.79324,0.0178513
256,846.633,1.08539,0.0,0.0,1.64356e-48,-2.73365,3.81904,0.0181788
257,847.597,1.09281,0.0,0.0,4.63527e-49,-2.75774,3.85055,0.0174642
258,848.561,1.06047,0.0,0.0,1.2977e-49,-2.78182,3.8423,0.0172987
259,849.525,1.04064,0.0,0.0,3.60696e-50,-2.80591,3.84655,0.0180342
260,850.49,1.08027,0.0,0.0,9.95084e-51,-2.83,3.91027,0.0184017
261,851.454,1.11078,0.0,0.0,2.72513e-51,-2.85408,3.96486,0.0180169
262,852.418,1.09008,0.0,0.0,7.40942e-52,-2.87817,3.96825,0.0175712
263,853.383,1.0787,0.0,0.0,1.99955e-52,-2.90226,3.98096,0.0180311
264,854.347,1.10081,0.0,0.0,5.3566e-53,-2.92634,4.02715,0.0187212
265,855.311,1.09477,0.0,0.0,1.42467e-53,-2.95043,4.0452,0.0184258
266,856.275,1.07461,0.0,0.0,3.7609e-54,-2.97452,4.04912,0.0178139
267,857.24,1.07532,0.0,0.0,9.85547e-55,-2.9986,4.07392,0.0179645
268,858.204,1.09409,0.0,0.0,2.56373e-55,-3.02269,4.11678,0.0184608
269,859.168,1.09524,0.0,0.0,6.62029e-56,-3.04678,4.14202,0.0184658
270,860.132,1.07532,0.0,0.0,1.69728e-56,-3.07087,4.14618,0.0179207
271,861.097,1.0884,0.0,0.0,4.31894e-57,-3.09495,4.18336,0.0178282
272,862.061,1.09499,0.0,0.0,1.09096e-57,-3.11904,4.21403,0.0183231
273,863.025,1.07893,0.0,0.0,2.7356e-58,-3.14313,4.22205,0.0184457
274,863.99,1.06832,0.0,0.0,6.81033e-59,-3.16721,4.23553,0.0182594
275,864.954,1.06685,0.0,0.0,1.68279e-59,-3.1913,4.25815,0.0187738
276,865.918,1.12252,0.0,0.0,4.12765e-60,-3.21539,4.33791,0.0191468
277,866.882,1.15399,0.0,0.0,1.00519e-60,-3.23947,4.39346,0.0191895
278,867.847,1.15212,0.0,0.0,2.42962e-61,-3.26356,4.41568,0.0190856
279,868.811,1.14773,0.0,0.0,5.8296e-62,-3.28765,4.43538,0.0189294
280,869.775,1.1924,0.0,0.0,1.38872e-62,-3.31173,4.50414,0.0186438
281,870.739,1.21245,0.0,0.0,3.28347e-63,-3.33582,4.54827,0.01857
282,871.704,1.18555,0.0,0.0,7.70659e-64,-3.35991,4.54546,0.0185672
283,872.668,1.1597,0.0,0.0,1.79557e-64,-3.384,4.54369,0.018479
284,873.632,1.1549,0.0,0.0,4.15288e-65,-3.40809,4.56298,0.0184477
285,874.597,1.15693,0.0,0.0,9.5347e-66,-3.43217,4.5891,0.0187722
286,875.561,1.16024,0.0,0.0,2.17341e-66,-3.45626,4.6165,0.0192156
287,876.525,1.16895,0.0,0.0,4.9172e-67,-3.48035,4.6493,0.0195212
288,877.489,1.18057,0.0,0.0,1.10434e-67,-3.50443,4.685,0.0194764
289,878.454,1.19728,0.0,0.0,2.46245e-68,-3.52852,4.7258,0.0197193
290,879.418,1.18765,0.0,0.0,5.44971e-69,-3.55261,4.74026,0.020167
291,880.382,1.13937,0.0,0.0,1.19726e-69,-3.57669,4.71606,0.0201945
292,881.346,1.13375,0.0,0.0,2.61145e-70,-3.60078,4.73452,0.0201057
293,882.311,1.15648,0.0,0.0,5.65349e-71,-3.62487,4.78135,0.0204322
294,883.275,1.16302,0.0,0.0,1.21496e-71,-3.64895,4.81198,0.0208436
295,884.239,1.1534,0.0,0.0,2.59188e-72,-3.67304,4.82644,0.0209232
296,885.204,1.16601,0.0,0.0,5.4888e-73,-3.69713,4.86314,0.0206168
297,886.168,1.20837,0.0,0.0,1.15404e-73,-3.72122,4.92959,0.0206102
298,887.132,1.24367,0.0,0.0,2.40825e-74,-3.7453,4.98897,0.020733
299,888.096,1.24445,0.0,0.0,4.98877e-75,-3.76939,5.01384,0.0210394
300,889.061,1.21797,0.0,0.0,1.02588e-75,-3.79348,5.01145,0.0211078
301,890.025,1.1939,0.0,0.0,2.09448e-76,-3.81756,5.01147,0.0208483
302,890.989,1.17905,0.0,0.0,4.24422e-77,-3.84165,5.0207,0.0207935
303,891.953,1.16632,0.0,0.0,8.53744e-78,-3.86574,5.03205,0.0209076
304,892.918,1.15941,0.0,0.0,1.70506e-78,-3.88982,5.04923,0.0211316
305,893.882,1.17352,0.0,0.0,3.37978e-79,-3.91391,5.08744,0.0211635
306,894.846,1.16088,0.0,0.0,6.6504e-80,-3.938,5.09888,0.0209734
307,895.811,1.14198,0.0,0.0,1.29924e-80,-3.96208,5.10406,0.0210022
308,896.775,1.14145,0.0,0.0,2.51923e-81,-3.98617,5.12762,0.0210611
309,897.739,1.16838,0.0,0.0,4.84903e-82,-4.01026,5.17864,0.0210155
310,898.703,1.19587,0.0,0.0,9.26514e-83,-4.03435,5.23021,0.0208637
311,899.668,1.1952,0.0,0.0,1.75735e-83,-4.05844,5.25364,0.0206957
