,wavenumber,experimental,CO2 v3b phase I,13CO2 v3b phase I,v3a,CO2 gas,linear baseline,residue,CO2 gas experimental
2950,3444.39,3.70625,0.0,0.0,0.0,0.0,5.47104,-1.76479,0.0560101
2951,3445.35,3.66233,0.0,0.0,0.0,0.0,5.4752,-1.81287,0.058903
2952,3446.32,3.62959,0.0,0.0,0.0,0.0,5.47936,-1.84977,0.0761387
2953,3447.28,3.69863,0.0,0.0,0.0,0.0,5.48352,-1.78489,0.0955247
2954,3448.24,3.72341,0.0,0.0,0.0,0.0,5.48768,-1.76427,0.0744354
2955,3449.21,3.69676,0.0,0.0,0.0,0.0,5.49184,-1.79508,0.0552607
2956,3450.17,3.68249,0.0,0.0,0.0,0.0,5.496,-1.81351,0.0516862
2957,3451.14,3.65607,0.0,0.0,0.0,0.0,5.50017,-1.84409,0.0512114
2958,3452.1,3.64699,0.0,0.0,0.0,0.0,5.50433,-1.85734,0.0510556
2959,3453.07,3.65586,0.0,0.0,0.0,0.0,5.50849,-1.85263,0.0514266
2960,3454.03,3.65449,0.0,0.0,0.0,0.0,5.51265,-1.85816,0.0511858
2961,3454.99,3.63126,0.0,0.0,0.0,0.0,5.51681,-1.88555,0.0520714
2962,3455.96,3.61508,0.0,0.0,0.0,0.0,5.52097,-1.90589,0.0534224
2963,3456.92,3.62705,0.0,0.0,0.0,0.0,5.52513,-1.89809,0.0532509
2964,3457.89,3.62587,0.0,0.0,0.0,0.0,5.52929,-1.90343,0.0529201
2965,3458.85,3.59032,0.0,0.0,0.0,0.0,5.53346,-1.94314,0.0533226
2966,3459.82,3.59774,0.0,0.0,0.0,0.0,5.53762,-1.93988,0.0535517
2967,3460.78,3.60642,0.0,0.0,0.0,0.0,5.54178,-1.93536,0.0576465
2968,3461.74,3.60185,0.0,0.0,0.0,0.0,5.54594,-1.94409,0.0630021
2969,3462.71,3.61835,0.0,0.0,0.0,0.0,5.5501,-1.93175,0.0657791
2970,3463.67,3.62098,0.0,0.0,0.0,0.0,5.55427,-1.93328,0.0585703
2971,3464.64,3.59436,0.0,0.0,0.0,0.0,5.55843,-1.96406,0.0528035
2972,3465.6,3.54495,0.0,0.0,0.0,0.0,5.56259,-2.01764,0.053924
2973,3466.57,3.51539,0.0,0.0,0.0,0.0,5.56675,-2.05136,0.0598126
2974,3467.53,3.54725,0.0,0.0,0.0,0.0,5.57091,-2.02366,0.0589969
2975,3468.49,3.54004,0.0,0.0,0.0,0.0,5.57508,-2.03503,0.0530524
2976,3469.46,3.51616,0.0,0.0,0.0,0.0,5.57924,-2.06308,0.0521676
2977,3470.42,3.52677,0.0,0.0,0.0,0.0,5.5834,-2.05663,0.0534883
2978,3471.39,3.52633,0.0,0.0,0.0,0.0,5.58756,-2.06122,0.0527124
2979,3472.35,3.52951,0.0,0.0,0.0,0.0,5.59172,-2.06221,0.0523644
2980,3473.32,3.54569,0.0,0.0,0.0,0.0,5.59588,-2.05019,0.0535956
2981,3474.28,3.54601,0.0,0.0,0.0,0.0,5.60004,-2.05403,0.0589935
2982,3475.24,3.531,0.0,0.0,0.0,0.0,5.6042,-2.0732,0.0621422
2983,3476.21,3.52197,0.0,0.0,0.0,0.0,5.60837,-2.08639,0.0557234
2984,3477.17,3.52117,0.0,0.0,0.0,0.0,5.61253,-2.09136,0.0514938
2985,3478.14,3.52297,0.0,0.0,0.0,0.0,5.61669,-2.09372,0.0514837
2986,3479.1,3.48021,0.0,0.0,0.0,0.0,5.62085,-2.14064,0.0534034
2987,3480.07,3.45386,0.0,0.0,0.0,0.0,5.62501,-2.17115,0.0622034
2988,3481.03,3.46072,0.0,0.0,0.0,0.0,5.62917,-2.16845,0.072029
2989,3481.99,3.47805,0.0,0.0,0.0,0.0,5.63333,-2.15529,0.0820791
2990,3482.96,3.5057,0.0,0.0,0.0,0.0,5.6375,-2.1318,0.0750324
2991,3483.92,3.49423,0.0,0.0,0.0,0.0,5.64166,-2.14743,0.0580605
2992,3484.89,3.48111,0.0,0.0,0.0,0.0,5.64582,-2.16471,0.0554422
2993,3485.85,3.4792,0.0,0.0,0.0,0.0,5.64998,-2.17078,0.0567008
2994,3486.82,3.45312,0.0,0.0,0.0,0.0,5.65414,-2.20103,0.059312
2995,3487.78,3.43176,0.0,0.0,0.0,0.0,5.6583,-2.22654,0.0693903
2996,3488.74,3.48401,0.0,0.0,0.0,0.0,5.66246,-2.17845,0.0681613
2997,3489.71,3.4956,0.0,0.0,0.0,0.0,5.66663,-2.17103,0.0550035
2998,3490.67,3.47007,0.0,0.0,0.0,0.0,5.67079,-2.20072,0.0533974
2999,3491.64,3.4747,0.0,0.0,0.0,0.0,5.67495,-2.20025,0.0530025
3000,3492.6,3.49214,0.0,0.0,0.0,0.0,5.67911,-2.18696,0.0520969
3001,3493.57,3.47078,0.0,0.0,0.0,0.0,5.68327,-2.21249,0.0522189
3002,3494.53,3.44193,0.0,0.0,0.0,0.0,5.68743,-2.2455,0.0570759
3003,3495.49,3.40574,0.0,0.0,0.0,0.0,5.69159,-2.28585,0.0643078
3004,3496.46,3.40202,0.0,0.0,0.0,0.0,5.69576,-2.29374,0.0695436
3005,3497.42,3.42414,0.0,0.0,0.0,0.0,5.69992,-2.27577,0.0626576
3006,3498.39,3.41798,0.0,0.0,0.0,0.0,5.70408,-2.2861,0.0541204
3007,3499.35,3.41927,0.0,0.0,0.0,0.0,5.70824,-2.28897,0.0554202
3008,3500.32,3.43531,0.0,0.0,0.0,0.0,5.7124,-2.27709,0.0591443
3009,3501.28,3.41039,0.0,0.0,0.0,0.0,5.71656,-2.30617,0.0686396
3010,3502.24,3.33667,0.0,0.0,0.0,0.0,5.72072,-2.38405,0.0886887
3011,3503.21,3.36133,0.0,0.0,0.0,0.0,5.72489,-2.36356,0.10629
3012,3504.17,3.43047,0.0,0.0,0.0,0.0,5.72905,-2.29858,0.0949709
3013,3505.14,3.4334,0.0,0.0,0.0,0.0,5.73321,-2.29981,0.0735705
3014,3506.1,3.42694,0.0,0.0,0.0,0.0,5.73737,-2.31043,0.0596378
3015,3507.06,3.40857,0.0,0.0,0.0,0.0,5.74153,-2.33296,0.0542119
3016,3508.03,3.3828,0.0,0.0,0.0,0.0,5.7457,-2.36289,0.0606429
