Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Sat Jun  6 20:40:01 2020 ---
FN7114 line across CO2 30 microns0039.CSV, 0039, Spec0039_VoigtH, VoigtH, 3.562578807462, 3107.1138396168, 3.8440416358431, 1, 2.150203605555, 2.5826577340856, 1.2913288670428, 0.66553928912903, 
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_VoigtH, VoigtH, 3.9273556816498, 3107.110765902, 3.8210364316552, 1, 2.137335411691, 2.5672014580749, 1.2836007290375, 0.73810195883228, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_VoigtH, VoigtH, 4.1277102911868, 3107.1629722453, 3.6990543948854, 1, 2.0691035244945, 2.4852466093694, 1.2426233046847, 0.80133809974711, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_VoigtH, VoigtH, 4.2919566733395, 3107.0953963776, 3.8037827872767, 1, 2.1276844110344, 2.555609424919, 1.2778047124595, 0.81028336258731, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_VoigtH, VoigtH, 4.4300173199726, 3107.12175965, 3.585344912428, 1, 2.0054989743029, 2.4088497588335, 1.2044248794167, 0.8873026613668, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_VoigtH, VoigtH, 4.6893890637212, 3107.135216952, 3.6347202322515, 1, 2.0331175593151, 2.4420230601906, 1.2210115300953, 0.92649393182485, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_VoigtH, VoigtH, 4.7482923011593, 3107.1372519106, 3.5519713739513, 1, 1.9868311476869, 2.3864274139616, 1.1932137069808, 0.95998686366879, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_VoigtH, VoigtH, 5.2341497133197, 3107.1022134853, 3.5966867995941, 1, 2.011843173713, 2.4164699189107, 1.2082349594554, 1.0450590272796, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_VoigtH, VoigtH, 5.5546907849306, 3107.1013752908, 3.4819345878469, 1, 1.9476553623366, 2.3393725002956, 1.1696862501478, 1.1456094334578, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_VoigtH, VoigtH, 6.2238727807067, 3107.1322949446, 3.5046473698189, 1, 1.9603599868738, 2.3546323095224, 1.1773161547612, 1.2753038815578, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_VoigtH, VoigtH, 6.9840886504344, 3107.134961982, 3.5207536059356, 1, 1.969369173103, 2.3654534449872, 1.1827267224936, 1.4245293840076, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_VoigtH, VoigtH, 7.7731159563664, 3107.1495517063, 3.3867772559194, 1, 1.8944281453634, 2.2754400972317, 1.1377200486158, 1.6481844529045, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_VoigtH, VoigtH, 8.3379716999708, 3107.1193705089, 3.3498465770511, 1, 1.8737705962572, 2.2506278520897, 1.1253139260449, 1.787445468999, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_VoigtH, VoigtH, 8.8020611438285, 3107.1075418404, 3.3652233125437, 1, 1.882371728927, 2.2609588652803, 1.1304794326401, 1.8783122617978, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_VoigtH, VoigtH, 9.3428761033236, 3107.0952881493, 3.3361930206919, 1, 1.866133341281, 2.2414545739961, 1.1207272869981, 2.0110678424116, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_VoigtH, VoigtH, 9.457202458714, 3107.0662563738, 3.3336250927897, 1, 1.8646969448116, 2.2397292860088, 1.1198646430044, 2.0372448628932, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_VoigtH, VoigtH, 9.3081568287122, 3107.0856363046, 3.3036222982106, 1, 1.8479145779196, 2.2195716090624, 1.1097858045312, 2.0233480934251, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_VoigtH, VoigtH, 9.0197771077859, 3107.0571998995, 3.289540199649, 1, 1.8400376135239, 2.2101104106136, 1.1050552053068, 1.9690552803898, 
