Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 10:20:07 2020 ---
FN7114 map truncated version0116.CSV, 0116, Spec0116_CO2GasV3, CO2GasV3, 0.14569008465396, 
FN7114 map truncated version0117.CSV, 0117, Spec0117_CO2GasV3, CO2GasV3, 0.12185210626198, 
FN7114 map truncated version0118.CSV, 0118, Spec0118_CO2GasV3, CO2GasV3, 0.17196607352233, 
FN7114 map truncated version0119.CSV, 0119, Spec0119_CO2GasV3, CO2GasV3, 0.12601342931154, 
FN7114 map truncated version0120.CSV, 0120, Spec0120_CO2GasV3, CO2GasV3, 0.19255095041266, 
FN7114 map truncated version0121.CSV, 0121, Spec0121_CO2GasV3, CO2GasV3, 0.50446174112815, 
FN7114 map truncated version0122.CSV, 0122, Spec0122_CO2GasV3, CO2GasV3, 0.38536408094899, 
FN7114 map truncated version0123.CSV, 0123, Spec0123_CO2GasV3, CO2GasV3, 0.33926433508861, 
FN7114 map truncated version0124.CSV, 0124, Spec0124_CO2GasV3, CO2GasV3, 0.36001686162585, 
FN7114 map truncated version0125.CSV, 0125, Spec0125_CO2GasV3, CO2GasV3, 0.4423617146647, 
FN7114 map truncated version0126.CSV, 0126, Spec0126_CO2GasV3, CO2GasV3, 0.46866940278513, 
FN7114 map truncated version0127.CSV, 0127, Spec0127_CO2GasV3, CO2GasV3, 0.55312798604227, 
FN7114 map truncated version0128.CSV, 0128, Spec0128_CO2GasV3, CO2GasV3, 0.6265205724155, 
FN7114 map truncated version0129.CSV, 0129, Spec0129_CO2GasV3, CO2GasV3, 0.65432813740622, 
FN7114 map truncated version0130.CSV, 0130, Spec0130_CO2GasV3, CO2GasV3, 0.64981791099683, 
FN7114 map truncated version0131.CSV, 0131, Spec0131_CO2GasV3, CO2GasV3, 0.66635330243425, 
FN7114 map truncated version0132.CSV, 0132, Spec0132_CO2GasV3, CO2GasV3, 0.970506704261, 
FN7114 map truncated version0133.CSV, 0133, Spec0133_CO2GasV3, CO2GasV3, 0.8898489718835, 
FN7114 map truncated version0134.CSV, 0134, Spec0134_CO2GasV3, CO2GasV3, 0.59432838306619, 
FN7114 map truncated version0135.CSV, 0135, Spec0135_CO2GasV3, CO2GasV3, 0.68168846518309, 
FN7114 map truncated version0136.CSV, 0136, Spec0136_CO2GasV3, CO2GasV3, 0.85650775215526, 
FN7114 map truncated version0137.CSV, 0137, Spec0137_CO2GasV3, CO2GasV3, 0.89093273619695, 
FN7114 map truncated version0138.CSV, 0138, Spec0138_CO2GasV3, CO2GasV3, 0.93508830394978, 
FN7114 map truncated version0139.CSV, 0139, Spec0139_CO2GasV3, CO2GasV3, 1.0090980907686, 
FN7114 map truncated version0140.CSV, 0140, Spec0140_CO2GasV3, CO2GasV3, 0.47703382816332, 
FN7114 map truncated version0141.CSV, 0141, Spec0141_CO2GasV3, CO2GasV3, 0.4975052954001, 
FN7114 map truncated version0142.CSV, 0142, Spec0142_CO2GasV3, CO2GasV3, 0.49722082480287, 
FN7114 map truncated version0143.CSV, 0143, Spec0143_CO2GasV3, CO2GasV3, 0.43037281379979, 
FN7114 map truncated version0144.CSV, 0144, Spec0144_CO2GasV3, CO2GasV3, 0.36164352297538, 
FN7114 map truncated version0145.CSV, 0145, Spec0145_CO2GasV3, CO2GasV3, 0.31117405780572, 
