Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Sat Jun  6 20:56:36 2020 ---
FN7114 line across CO2 30 microns0040.CSV, 0040, Spec0040_CO2GasV3, CO2GasV3, 0.15079293224375, 
FN7114 line across CO2 30 microns0041.CSV, 0041, Spec0041_CO2GasV3, CO2GasV3, 0.11761835080924, 
FN7114 line across CO2 30 microns0042.CSV, 0042, Spec0042_CO2GasV3, CO2GasV3, -0.031061084774793, 
FN7114 line across CO2 30 microns0043.CSV, 0043, Spec0043_CO2GasV3, CO2GasV3, -0.075855638378131, 
FN7114 line across CO2 30 microns0044.CSV, 0044, Spec0044_CO2GasV3, CO2GasV3, -0.090340161602552, 
FN7114 line across CO2 30 microns0045.CSV, 0045, Spec0045_CO2GasV3, CO2GasV3, -0.040684638720704, 
FN7114 line across CO2 30 microns0046.CSV, 0046, Spec0046_CO2GasV3, CO2GasV3, -0.044627418563486, 
FN7114 line across CO2 30 microns0047.CSV, 0047, Spec0047_CO2GasV3, CO2GasV3, -0.087589040008125, 
FN7114 line across CO2 30 microns0048.CSV, 0048, Spec0048_CO2GasV3, CO2GasV3, -0.1613611605431, 
FN7114 line across CO2 30 microns0049.CSV, 0049, Spec0049_CO2GasV3, CO2GasV3, -0.107761839922, 
FN7114 line across CO2 30 microns0050.CSV, 0050, Spec0050_CO2GasV3, CO2GasV3, -0.087232093736432, 
FN7114 line across CO2 30 microns0051.CSV, 0051, Spec0051_CO2GasV3, CO2GasV3, 0.096687071976408, 
FN7114 line across CO2 30 microns0052.CSV, 0052, Spec0052_CO2GasV3, CO2GasV3, 0.28854135280322, 
FN7114 line across CO2 30 microns0053.CSV, 0053, Spec0053_CO2GasV3, CO2GasV3, 0.46066165065015, 
FN7114 line across CO2 30 microns0054.CSV, 0054, Spec0054_CO2GasV3, CO2GasV3, 0.50209935342968, 
FN7114 line across CO2 30 microns0055.CSV, 0055, Spec0055_CO2GasV3, CO2GasV3, 0.60129121936231, 
FN7114 line across CO2 30 microns0056.CSV, 0056, Spec0056_CO2GasV3, CO2GasV3, 0.68212290025249, 
