Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0129.CSV, 0129, Spec0129_O, Oband, 338.73757215022, 
FN7114 map truncated version0130.CSV, 0130, Spec0130_O, Oband, 330.28841398002, 
FN7114 map truncated version0131.CSV, 0131, Spec0131_O, Oband, 320.88639417209, 
FN7114 map truncated version0132.CSV, 0132, Spec0132_O, Oband, 312.83899307534, 
FN7114 map truncated version0133.CSV, 0133, Spec0133_O, Oband, 310.84493460666, 
FN7114 map truncated version0134.CSV, 0134, Spec0134_O, Oband, 322.66866537884, 
FN7114 map truncated version0135.CSV, 0135, Spec0135_O, Oband, 290.52003603798, 
FN7114 map truncated version0136.CSV, 0136, Spec0136_O, Oband, 304.04133549812, 
FN7114 map truncated version0137.CSV, 0137, Spec0137_O, Oband, 316.4440131761, 
FN7114 map truncated version0138.CSV, 0138, Spec0138_O, Oband, 321.77182073417, 
FN7114 map truncated version0139.CSV, 0139, Spec0139_O, Oband, 324.94259393917, 
FN7114 map truncated version0140.CSV, 0140, Spec0140_O, Oband, 330.14662792582, 
FN7114 map truncated version0141.CSV, 0141, Spec0141_O, Oband, 323.84772148929, 
FN7114 map truncated version0142.CSV, 0142, Spec0142_O, Oband, 328.68628196087, 
FN7114 map truncated version0143.CSV, 0143, Spec0143_O, Oband, 333.74961695215, 
FN7114 map truncated version0144.CSV, 0144, Spec0144_O, Oband, 334.42525908535, 
FN7114 map truncated version0145.CSV, 0145, Spec0145_O, Oband, 331.16807805795, 
FN7114 map truncated version0146.CSV, 0146, Spec0146_O, Oband, 323.63773813221, 
FN7114 map truncated version0147.CSV, 0147, Spec0147_O, Oband, 315.42183915878, 
FN7114 map truncated version0148.CSV, 0148, Spec0148_O, Oband, 318.48560738923, 
FN7114 map truncated version0149.CSV, 0149, Spec0149_O, Oband, 297.20127914893, 
FN7114 map truncated version0150.CSV, 0150, Spec0150_O, Oband, 260.28122392523, 
FN7114 map truncated version0151.CSV, 0151, Spec0151_O, Oband, 292.33771220501, 
FN7114 map truncated version0152.CSV, 0152, Spec0152_O, Oband, 312.21297063204, 
FN7114 map truncated version0153.CSV, 0153, Spec0153_O, Oband, 322.55408934046, 
FN7114 map truncated version0154.CSV, 0154, Spec0154_O, Oband, 331.21437668245, 
FN7114 map truncated version0155.CSV, 0155, Spec0155_O, Oband, 337.3690451511, 
FN7114 map truncated version0156.CSV, 0156, Spec0156_O, Oband, 339.61344115018, 
FN7114 map truncated version0157.CSV, 0157, Spec0157_O, Oband, 339.49261682022, 
FN7114 map truncated version0158.CSV, 0158, Spec0158_O, Oband, 337.04515938992, 
FN7114 map truncated version0159.CSV, 0159, Spec0159_O, Oband, 334.87943248668, 
FN7114 map truncated version0160.CSV, 0160, Spec0160_O, Oband, 327.93607023717, 
FN7114 map truncated version0161.CSV, 0161, Spec0161_O, Oband, 316.9632139208, 
FN7114 map truncated version0162.CSV, 0162, Spec0162_O, Oband, 307.70057575272, 
FN7114 map truncated version0163.CSV, 0163, Spec0163_O, Oband, 303.54314749269, 
FN7114 map truncated version0164.CSV, 0164, Spec0164_O, Oband, 295.12536037404, 
FN7114 map truncated version0165.CSV, 0165, Spec0165_O, Oband, 284.75102728089, 
FN7114 map truncated version0166.CSV, 0166, Spec0166_O, Oband, 298.23780832748, 
FN7114 map truncated version0167.CSV, 0167, Spec0167_O, Oband, 319.93018394633, 
FN7114 map truncated version0168.CSV, 0168, Spec0168_O, Oband, 331.19285219896, 
FN7114 map truncated version0169.CSV, 0169, Spec0169_O, Oband, 336.26949906409, 
FN7114 map truncated version0170.CSV, 0170, Spec0170_O, Oband, 339.09125649784, 
FN7114 map truncated version0171.CSV, 0171, Spec0171_O, Oband, 338.88001747894, 
FN7114 map truncated version0172.CSV, 0172, Spec0172_O, Oband, 336.55040026328, 
FN7114 map truncated version0173.CSV, 0173, Spec0173_O, Oband, 333.50325599341, 
FN7114 map truncated version0174.CSV, 0174, Spec0174_O, Oband, 326.96193719079, 
FN7114 map truncated version0175.CSV, 0175, Spec0175_O, Oband, 317.13227391266, 
FN7114 map truncated version0176.CSV, 0176, Spec0176_O, Oband, 303.38838312386, 
FN7114 map truncated version0177.CSV, 0177, Spec0177_O, Oband, 291.33786161242, 
FN7114 map truncated version0178.CSV, 0178, Spec0178_O, Oband, 299.27399892459, 
FN7114 map truncated version0179.CSV, 0179, Spec0179_O, Oband, 331.0684437909, 
FN7114 map truncated version0180.CSV, 0180, Spec0180_O, Oband, 278.77503865882, 
FN7114 map truncated version0181.CSV, 0181, Spec0181_O, Oband, 285.2383087422, 
FN7114 map truncated version0182.CSV, 0182, Spec0182_O, Oband, 311.39264672461, 
FN7114 map truncated version0183.CSV, 0183, Spec0183_O, Oband, 318.70906676999, 
FN7114 map truncated version0184.CSV, 0184, Spec0184_O, Oband, 322.20246531001, 
FN7114 map truncated version0185.CSV, 0185, Spec0185_O, Oband, 322.82133372609, 
FN7114 map truncated version0186.CSV, 0186, Spec0186_O, Oband, 319.04195756911, 
