Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, Area, Center, FWHM, shape, GaussianFWHM, LorentzianFWHM,  gwidth, height,  --- Created at Fri Jun  5 15:53:30 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0041.CSV, 0041, Spec0041_VoigtD, VoigtD, 0, 2370.1033131909, 42.435821941987, 0, 42.435821941987, 0, 25.485308334896, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0042.CSV, 0042, Spec0042_VoigtD, VoigtD, 0, 2369.9640245281, 45.716445047339, 0, 45.716445047339, 0, 27.455523298206, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0043.CSV, 0043, Spec0043_VoigtD, VoigtD, 0, 2369.8074031843, 46.594649515939, 0, 46.594649515939, 0, 27.982938831573, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0044.CSV, 0044, Spec0044_VoigtD, VoigtD, 0, 2369.5675862296, 48.120489263262, 0, 48.120489263262, 0, 28.899298987936, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0045.CSV, 0045, Spec0045_VoigtD, VoigtD, 0, 2369.3466351858, 50.005958163629, 0, 50.005958163629, 0, 30.031638461586, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0046.CSV, 0046, Spec0046_VoigtD, VoigtD, 0, 2369.0131331385, 63.497621711701, 0, 63.497621711701, 0, 38.134208171285, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0047.CSV, 0047, Spec0047_VoigtD, VoigtD, 0, 2368.3682660386, 73.940779649173, 0, 73.940779649173, 0, 44.405963679882, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0048.CSV, 0048, Spec0048_VoigtD, VoigtD, 0, 2368.3668740459, 75.858268943783, 0, 75.858268943783, 0, 45.557533360063, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0049.CSV, 0049, Spec0049_VoigtD, VoigtD, 0, 2366.0983875658, 80.454069363878, 0, 80.454069363878, 0, 48.317592795506, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0050.CSV, 0050, Spec0050_VoigtD, VoigtD, 0, 2364.4096650105, 93.026738963189, 0, 93.026738963189, 0, 55.868250392507, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0051.CSV, 0051, Spec0051_VoigtD, VoigtD, 0, 2362.9690837348, 98.418118647011, 0, 98.418118647011, 0, 59.106103868764, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0052.CSV, 0052, Spec0052_VoigtD, VoigtD, 0, 2361.3665623168, 95.96743317887, 0, 95.96743317887, 0, 57.634317252429, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0053.CSV, 0053, Spec0053_VoigtD, VoigtD, 0, 2360.6401198972, 102.143194098, 0, 102.143194098, 0, 61.343239668065, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0054.CSV, 0054, Spec0054_VoigtD, VoigtD, 0, 2360.2831382681, 99.50459351799, 0, 99.50459351799, 0, 59.758598525822, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0055.CSV, 0055, Spec0055_VoigtD, VoigtD, 0, 2360.07836615, 99.632629381777, 0, 99.632629381777, 0, 59.835491898384, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0056.CSV, 0056, Spec0056_VoigtD, VoigtD, 0, 2359.7192024958, 99.582703170013, 0, 99.582703170013, 0, 59.805508152516, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0057.CSV, 0057, Spec0057_VoigtD, VoigtD, 0, 2359.3869808559, 101.4726189817, 0, 101.4726189817, 0, 60.940518268587, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0058.CSV, 0058, Spec0058_VoigtD, VoigtD, 0, 2359.0885737412, 99.540123009051, 0, 99.540123009051, 0, 59.779936159766, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0059.CSV, 0059, Spec0059_VoigtD, VoigtD, 0, 2361.092164553, 108.66366097685, 0, 108.66366097685, 0, 65.259179110035, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0060.CSV, 0060, Spec0060_VoigtD, VoigtD, 0, 2361.1743473279, 109.72481070117, 0, 109.72481070117, 0, 65.896464466511, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0061.CSV, 0061, Spec0061_VoigtD, VoigtD, 0, 2362.410399539, 111.05646120394, 0, 111.05646120394, 0, 66.696202096287, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0062.CSV, 0062, Spec0062_VoigtD, VoigtD, 0, 2363.4400517897, 113.9343616981, 0, 113.9343616981, 0, 68.424557483183, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0063.CSV, 0063, Spec0063_VoigtD, VoigtD, 0, 2364.2842809088, 116.3817403395, 0, 116.3817403395, 0, 69.89435814767, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0064.CSV, 0064, Spec0064_VoigtD, VoigtD, 0, 2364.0059266805, 112.84764273001, 0, 112.84764273001, 0, 67.77191623087, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0065.CSV, 0065, Spec0065_VoigtD, VoigtD, 0, 2364.4942897563, 113.65838610329, 0, 113.65838610329, 0, 68.258817247582, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0066.CSV, 0066, Spec0066_VoigtD, VoigtD, 0, 2364.0660334395, 112.11554131437, 0, 112.11554131437, 0, 67.332244522958, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0067.CSV, 0067, Spec0067_VoigtD, VoigtD, 0, 2364.550264072, 112.39523129559, 0, 112.39523129559, 0, 67.500215474938, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0068.CSV, 0068, Spec0068_VoigtD, VoigtD, 0, 2364.3164915057, 110.74080171973, 0, 110.74080171973, 0, 66.506629256271, 0, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0069.CSV, 0069, Spec0069_VoigtD, VoigtD, 0, 2364.1979007993, 111.4739303496, 0, 111.4739303496, 0, 66.946917869202, 0, 
