Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Thu Jun  4 09:52:19 2020 ---
FN7114 map truncated version0156.CSV, 0156, Spec0156_B, Bcenter, 0, 
FN7114 map truncated version0157.CSV, 0157, Spec0157_B, Bcenter, 0.52926029416553, 
FN7114 map truncated version0158.CSV, 0158, Spec0158_B, Bcenter, 1.1734651327717, 
FN7114 map truncated version0159.CSV, 0159, Spec0159_B, Bcenter, 1.5889988244214, 
FN7114 map truncated version0160.CSV, 0160, Spec0160_B, Bcenter, 2.2740868117957, 
FN7114 map truncated version0161.CSV, 0161, Spec0161_B, Bcenter, 3.3545181293085, 
FN7114 map truncated version0162.CSV, 0162, Spec0162_B, Bcenter, 4.3668242827979, 
FN7114 map truncated version0163.CSV, 0163, Spec0163_B, Bcenter, 4.3293599395155, 
FN7114 map truncated version0164.CSV, 0164, Spec0164_B, Bcenter, 4.8943641686542, 
FN7114 map truncated version0165.CSV, 0165, Spec0165_B, Bcenter, 3.5361166862991, 
FN7114 map truncated version0166.CSV, 0166, Spec0166_B, Bcenter, 2.4393031705181, 
FN7114 map truncated version0167.CSV, 0167, Spec0167_B, Bcenter, 1.5251192239664, 
FN7114 map truncated version0168.CSV, 0168, Spec0168_B, Bcenter, 1.037099916713, 
FN7114 map truncated version0169.CSV, 0169, Spec0169_B, Bcenter, 1.2130121066149, 
FN7114 map truncated version0170.CSV, 0170, Spec0170_B, Bcenter, 1.6973500855304, 
FN7114 map truncated version0171.CSV, 0171, Spec0171_B, Bcenter, 2.0869097944108, 
FN7114 map truncated version0172.CSV, 0172, Spec0172_B, Bcenter, 2.5538920272856, 
FN7114 map truncated version0173.CSV, 0173, Spec0173_B, Bcenter, 3.0550407935889, 
FN7114 map truncated version0174.CSV, 0174, Spec0174_B, Bcenter, 3.5302040002553, 
FN7114 map truncated version0175.CSV, 0175, Spec0175_B, Bcenter, 4.8643258734263, 
FN7114 map truncated version0176.CSV, 0176, Spec0176_B, Bcenter, 5.898300752415, 
