Spectra_filename, Number_in_fun_name, Function_full_name, FunctionType, height, --- Created at Fri Jun  5 15:51:09 2020 ---
FN7112 vertical profile at 18750 through CO2 max 30 microns0059.CSV, 0059, Spec0059_CO2GasV2, CO2GasV2, 1.0177478936719, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0060.CSV, 0060, Spec0060_CO2GasV2, CO2GasV2, 0.99200879356039, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0061.CSV, 0061, Spec0061_CO2GasV2, CO2GasV2, 0.97221262614257, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0062.CSV, 0062, Spec0062_CO2GasV2, CO2GasV2, 0.96384626006226, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0063.CSV, 0063, Spec0063_CO2GasV2, CO2GasV2, 0.92938195318725, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0064.CSV, 0064, Spec0064_CO2GasV2, CO2GasV2, 0.91059342474788, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0065.CSV, 0065, Spec0065_CO2GasV2, CO2GasV2, 0.8052921884333, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0066.CSV, 0066, Spec0066_CO2GasV2, CO2GasV2, 0.81622074663786, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0067.CSV, 0067, Spec0067_CO2GasV2, CO2GasV2, 0.74652175398744, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0068.CSV, 0068, Spec0068_CO2GasV2, CO2GasV2, 0.79168240119108, 
FN7112 vertical profile at 18750 through CO2 max 30 microns0069.CSV, 0069, Spec0069_CO2GasV2, CO2GasV2, 0.85755709136991, 
